id	clade	name	description	synonyms
NCBI:txid665518	species	Stipa lagascae		[]
NCBI:txid2210518	species	Tanypodinae sp. BIOUG20329-G09		[]
NCBI:txid1308515	species	Calligonum arich		[]
NCBI:txid1865534	no rank	Influenza A virus (A/Texas/87/2016(H1N1))		[]
NCBI:txid2348695	species	Cecidomyiidae sp. BIOUG20917-B04		[]
NCBI:txid313746	species	bacterium 052334		[]
NCBI:txid2377207	species	Megaselia sp. BIOUG24104-F03		[]
NCBI:txid1332878	species	Penicillium sp. E5		[]
NCBI:txid1132173	species	Crotalaria burttii		[]
NCBI:txid142126	species	Barytettix humphreysi		["Barytettix humphreysii", "Pezotettix humphreysii"]
NCBI:txid2443248	species	Ponera sp. BIOUG26321-A04		[]
NCBI:txid2315313	varietas	Senna corifolia var. corifolia		[]
NCBI:txid2102649	species	Isotomidae sp. BIOUG15136-F01		[]
NCBI:txid2144750	species	Alysiinae sp. BIOUG26696-C07		[]
NCBI:txid2163724	species	Lepidoptera sp. 1379 CZ-2018		[]
NCBI:txid1042750	no rank	Influenza A virus (A/chicken/Magelang/BBVW-680-744/2007(H5N1))		[]
NCBI:txid2193338	species	Limnophyes sp. BIOUG27591-H02		[]
NCBI:txid461592	species	Hyperbaena leptobotryosa		[]
NCBI:txid1580075	no rank	Norovirus GII/Hu/HKG/2014/GII.4/CUHK-NS-324		[]
NCBI:txid1731246	no rank	Influenza A virus (A/Indiana/01/2015(H3N2))		[]
NCBI:txid2255672	species	Stempellinella sp. BIOUG20533-C05		[]
NCBI:txid1284969	no rank	Influenza A virus (A/American black duck/New Brunswick/00484/2010(H3N8))		[]
NCBI:txid704497	genus	Iraga		[]
NCBI:txid1749699	species	Cecidomyiidae sp. SSJAD6126-13		[]
NCBI:txid1141022	species	Saurita rubripuncta		[]
NCBI:txid2146220	species	Aphidius sp. BIOUG21904-A05		[]
NCBI:txid1546474	species	Rubus sp. MS-2014j		[]
NCBI:txid182113	species	Ficus glabrata		[]
NCBI:txid2452872	species	Bryotropha sp. BIOUG22382-C02		[]
NCBI:txid2321046	species	Psylliodes sp. MIS_LEM_MS_0000859		[]
NCBI:txid2359934	species	Camptoprosopella sp. BIOUG32431-B07		[]
NCBI:txid1635647	species	Devosia sp. HRRK077		[]
NCBI:txid763559	no rank	Influenza B virus (B/Bahia/31/2008)		[]
NCBI:txid1379657	species	Atheliaceae sp. HN3-3OI		[]
NCBI:txid2603993	species	Leuctra pseudocingulata		[]
NCBI:txid760251	species	Streptomyces sp. BB47		[]
NCBI:txid1012517	species	bacterium enrichment culture clone ALO1_GLFRUDD03FU4E5		[]
NCBI:txid439322	species	Gambierdiscus sp. caribaeus		[]
NCBI:txid2427450	species	Cryptinae sp. BIOUG24150-D12		[]
NCBI:txid1532464	species	Poa sergievskajae		["Poa pratensis subsp. sergievskajae (Prob.) Tzvelev"]
NCBI:txid574460	species	Triraphis sp. 10 AZR-2008		[]
NCBI:txid2716007	species	Phormidium sp. UIC 10707		[]
NCBI:txid507046	genus	Ectinorus		[]
NCBI:txid2233940	species	Belonopelta sp. HN01		["Belonopelta HN01"]
NCBI:txid669150	species	Micoletzkya sp. WEM-2009		[]
NCBI:txid2471192	species	Eulophidae sp. BIOUG12498-B11		[]
NCBI:txid2012988	species	Ophichthus sp. FRLM:49595		[]
NCBI:txid204607	species	Bradyrhizobium sp. CIAT371		[]
NCBI:txid2063166	species	Schizaphis sp. BIOUG25259-E06		[]
NCBI:txid1821533	species	Ceuthophilus sp. Geo_446_TX_Med_GroundHog		[]
NCBI:txid1055132	no rank	Sapovirus Hu/GI/Tokyo/11-852/2011/JPN		[]
NCBI:txid2611260	species	Thelairosoma sp. CCDB-31126-F04		[]
NCBI:txid499122	species	Bacillus sp. B27 Ydz-xm		[]
NCBI:txid1363151	species	Mesorhizobium sp. Se1Pw_3227		[]
NCBI:txid852636	species	Passeriformes sp. BOLD:AAC8254		[]
NCBI:txid2602310	species	Cambarus species complex C CCH3		[]
NCBI:txid1428123	species	Gyraulus sp. 17106		[]
NCBI:txid1732209	superfamily	Isaeoidea		[]
NCBI:txid2354789	species	Cecidomyiidae sp. BIOUG20616-A10		[]
NCBI:txid2239976	species	Ceratophysella sp. BIOUG27465-D07		[]
NCBI:txid2691061	species	Astyanax aff. paranae LIC-186		[]
NCBI:txid1851724	species	Diatrypella sp. HUEFS 131199		[]
NCBI:txid2001761	species	Phoridae sp. BIOUG17828-D06		[]
NCBI:txid1204583	species	Morchella sp. JM06_5		[]
NCBI:txid371903	species	Gentianella crispata		[]
NCBI:txid2744802	no rank	Listeria phage LP-HM00113468		[]
NCBI:txid2356727	species	Cecidomyiidae sp. BIOUG20771-G11		[]
NCBI:txid487824	no rank	Xanthomonas axonopodis pv. bauhiniae		[]
NCBI:txid530222	no rank	Influenza A virus (A/Arkansas/AF1385/2008(H3N2))		[]
NCBI:txid1491932	species	Enterobacter sp. TV84Nov		[]
NCBI:txid1087568	species	Manduca extrema		[]
NCBI:txid2259017	species	Paryphthimoides argulus		[]
NCBI:txid1132677	species	Bacillus sp. CRRI-56		[]
NCBI:txid559845	species	Smilasterias sp. DWF-2008		[]
NCBI:txid1827135	species	Tomentella sp. T6		[]
NCBI:txid1270565	species	Burkholderia sp. ISOM403_OTU58		[]
NCBI:txid83986	species	Methanoculleus bourgensis		["Methaniculleus bourgensis", "Methaniculleus oldenburgensis", "Methaniculleus olentangyensis", "Methaniculleus olentangyi", "Methanoculleus oldenburgensis", "Methanoculleus olentangyensis", "Methanoculleus olentangyi", "Methanogenium bourgense", "Methanogenium olentangyi"]
NCBI:txid2579699	species	Vibrissina sp. 4 BOLD-2019		[]
NCBI:txid1810354	species	Epistylis cf. galea PS-2016		[]
NCBI:txid2503947	species	Eulophidae sp. INDOBIOSYS-CCDB26104-C12		[]
NCBI:txid2337496	species	Morebilus sp. IDV 6681		[]
NCBI:txid1676083	no rank	Influenza A virus (A/California/NHRC_SAR40900N/2014(H3N2))		[]
NCBI:txid1866422	species	Burkholderia sp. HOB3-18_Pa		[]
NCBI:txid1880749	species	Blastomonas sp. BE360		[]
NCBI:txid2572356	species	Digonogastra sp. BIOUG19237-F07		[]
NCBI:txid2128198	species	Cecidomyiidae sp. BIOUG20709-A12		[]
NCBI:txid1892375	subspecies	Deparia petersenii subsp. petersenii		[]
NCBI:txid1598823	no rank	Influenza A virus (A/Hiroshima/56/2010(H3N2))		[]
NCBI:txid2280144	species	Megaselia sp. BIOUG21267-D07		[]
NCBI:txid1378010	no rank	Influenza A virus (A/swine/Indiana/A01260305/2013(H1N2))		[]
NCBI:txid2595533	species	Phymatophosus sp. cur107SG		[]
NCBI:txid1608248	species	Wegeneriona sp. 2 DP-2015		[]
NCBI:txid1002831	species	Calothrix sp. LCRNK.5		["Nostoc sp. LCRNK.5"]
NCBI:txid2556422	species	Cecidomyiidae sp. BIOUG19700-F10		[]
NCBI:txid837744	species	Lepidoptera sp. BOLD:AAC1717		[]
NCBI:txid2012380	species	Phaeomarasmius sp.		[]
NCBI:txid305545	species	Pipunculidae sp. CY03		[]
NCBI:txid1147558	no rank	Influenza B virus (B/Guangdong/265/2010)		[]
NCBI:txid817910	species	Coleoptera sp. BOLD:AAJ6313		[]
NCBI:txid1100011	species	Fusarium sp. R160		[]
NCBI:txid2092960	species	Valenzuela sp. BIOUG01769-E06		[]
NCBI:txid1429694	species	bacterium EMB233-6		[]
NCBI:txid2215475	species	Limoniidae sp. BIOUG14615-G01		[]
NCBI:txid1928311	no rank	Influenza A virus (A/Tehran/69634/2014(H3N2))		[]
NCBI:txid1187665	species	Lepidoptera sp. XSBNHap_150		[]
NCBI:txid1682028	species	Streptomyces sp. IB2014I78-11		[]
NCBI:txid646233	species	Cyphophthalmus sp. 10 JM-2009		[]
NCBI:txid321713	species	bacterium OVA15		[]
NCBI:txid1437506	species	Callochiton sulcatus		[]
NCBI:txid2521703	species	Mesochorinae sp. BIOUG21834-F12		[]
NCBI:txid370620	species	Heterorhabditis floridensis		[]
NCBI:txid2127808	species	Anthomyiidae sp. BIOUG20004-F05		[]
NCBI:txid674504	species	Cellulosimicrobium sp. 143-1		[]
NCBI:txid2212779	species	Shelduck picobirnavirus I		[]
NCBI:txid2225062	species	Cryptinae sp. BIOUG15212-D05		[]
NCBI:txid181153	genus	Leptonia		[]
NCBI:txid2517537	species	Dundocoris sp. CNCCOLVG00005705		[]
NCBI:txid1459052	species	Pleosporales sp. SVIMS-MICRO F1		[]
NCBI:txid1180091	species	Vibrio sp. IH2O1II_042		[]
NCBI:txid231925	species	Phanerochaete hiulca		[]
NCBI:txid1549238	species	Vibrio sp. PASCdS81		[]
NCBI:txid405289	subfamily	Macromesinae		[]
NCBI:txid1703844	no rank	Norovirus Hu/GII.4/S12-069/2012/JP		[]
NCBI:txid2373854	species	Lepidocyrtus sp. BIOUG28547-F03		[]
NCBI:txid2095906	species	Eupteryx vittata		[]
NCBI:txid248408	species	Pseudoselago densifolia		[]
NCBI:txid745378	species	Alcanivorax sp. 7-C-7		[]
NCBI:txid1874072	species	Escherichia sp. BRG-2		[]
NCBI:txid1938472	genus	Discomonas		[]
NCBI:txid1307543	species	bacterium amp-d-25		[]
NCBI:txid1136800	species	Schistura caudofurca		["Barbatula caudofurca"]
NCBI:txid2219167	species	Sapelovirus-like porcine picornavirus Japan		[]
NCBI:txid1976826	species	Phycitinae sp. NIBGE MOT-02970		[]
NCBI:txid1189568	strain	Planktothrix rubescens FEM_DD52		[]
NCBI:txid2660979	species	Scoliidae sp. BOLD:AAU8471		[]
NCBI:txid2446578	species	Telenomus sp. BIOUG25626-E08		[]
NCBI:txid2691609	species	Anthene contrastata		[]
NCBI:txid241241	species	Yonagunia tenuifolia		[]
NCBI:txid1783286	species	Arrenurus cuspidifer		[]
NCBI:txid1711465	subspecies	Eucalyptus persistens subsp. tardecidens		[]
NCBI:txid2403600	species	Gymnometriocnemus sp. BIOUG28479-A12		[]
NCBI:txid692556	no rank	Norovirus Hu/GII.3/Nsk-D175/2009/RUS		[]
NCBI:txid1604137	species	Teucrium sirnakense		[]
NCBI:txid747777	species	Acinetobacter sp. 7138		[]
NCBI:txid1170536	species	Brunfelsia pilosa		[]
NCBI:txid696847	species	Bacillus sp. KK13		[]
NCBI:txid1358623	species	Pleuromamma sp. NPPLPI137		[]
NCBI:txid2361583	species	Helina sp. BIOUG32142-G02		[]
NCBI:txid2338058	species	Fluvitrygon kittipongi		["Himantura kittipongi"]
NCBI:txid183219	species	Abelmoschus ficulneus		[]
NCBI:txid1789524	no rank	Influenza A virus (A/mallard/Maryland/14OS2911/2015(H7N3))		[]
NCBI:txid2218301	species	Acizzia sp. AuAcsp202		[]
NCBI:txid648593	species	Umbonium giganteum		["Rotella gigantea"]
NCBI:txid2099056	species	Balclutha sp. BIOUG31861-F02		[]
NCBI:txid662715	species	Bacillus sp. SP10.4O2		[]
NCBI:txid1403260	species	Monophadnus sp. B GM-2013		[]
NCBI:txid2119560	species	Cecidomyiidae sp. BIOUG26465-A08		[]
NCBI:txid1702961	species	Cellulomonas sp. URHB0011		[]
NCBI:txid2625737	no rank	unclassified Eumenes		[]
NCBI:txid455647	species	Pseudotaxiphyllum maebarae		[]
NCBI:txid1495565	species	Mesorhizobium sp. BIHB 4158		[]
NCBI:txid331367	species	Agonum punctiforme		[]
NCBI:txid2454765	species	Eucosma sp. BIOUG24831-D12		[]
NCBI:txid671580	species	Bacillus sp. MB68		[]
NCBI:txid1173245	species	bacterium enrichment culture clone pahAc5		[]
NCBI:txid1769922	species	Filipendula glaberrima		[]
NCBI:txid2503756	species	Elateridae sp. INDOBIOSYS-CCDB25262-G05		[]
NCBI:txid2665648	species	Paracoccus sp. S-4012		[]
NCBI:txid2446689	species	Telenomus sp. BIOUG30390-G10		[]
NCBI:txid219300	species	Acalypha yellow mosaic virus		[]
NCBI:txid2532741	species	Chironomidae sp. BIOUG23986-B06		[]
NCBI:txid1966931	species	Simocybe sp. 1 CRJH-2017		[]
NCBI:txid2092170	species	Trichogrammatidae sp. BIOUG09510-F09		[]
NCBI:txid2530193	species	Pholiota cf. spumosa		[]
NCBI:txid2086083	species	Trachyphloeus sp. BIOUG29345-B08		[]
NCBI:txid2585138	strain	Cylindrospermopsis raciborskii CS-506_C		[]
NCBI:txid2043246	species	Microtrichalus sp. A00362		[]
NCBI:txid296317	species	Haemoproteus sp. AP29		[]
NCBI:txid7524	order	Hemiptera		["bugs"]
NCBI:txid235106	no rank	Influenza A virus (A/Taiwan/0562/1995(H1N1))		["Influenza A virus (A/Taiwan/0562/95 (H1N1))", "Influenza A virus (A/Taiwan/0562/95(H1N1))", "Influenza A virus (A/human/Taiwan/0562/95(H1N1))"]
NCBI:txid1551497	species	Pseudomonas sp. ST12.14/520		[]
NCBI:txid1792203	species	Streptomyces sp. 1B-259		[]
NCBI:txid2311063	species	Gymnopternus sp. BIOUG21226-C02		[]
NCBI:txid97886	species	uncultured bacterium TAYNAYA-7		[]
NCBI:txid1839114	species	Mycetophilidae sp. BOLD:AAG4884		[]
NCBI:txid55088	species	Bacillus grandii		[]
NCBI:txid1515848	no rank	Influenza A virus (A/New Jersey/08/2013(H3N2))		[]
NCBI:txid2741194	species	Helenium scaposum		[]
NCBI:txid2435306	species	Lasius sp. BIOUG28259-E07		[]
NCBI:txid1253351	species	Ichneumonidae sp. ASWAT654-08		[]
NCBI:txid1322288	species	bacterium F2-2-9		[]
NCBI:txid2498423	species	Polypedilum sp. 10-SCCWRP-5889		[]
NCBI:txid1969006	species	Zelandoperla tillyardi		[]
NCBI:txid1909788	species	Neopestalotiopsis sp. NLP111		[]
NCBI:txid443312	subfamily	Temnomastacinae		[]
NCBI:txid1213437	species	Axonopus eminens		[]
NCBI:txid1693624	species	Chironomidae sp. BOLD:AAP6886		[]
NCBI:txid1782928	species	Cecidomyiidae sp. BOLD:ACV1276		[]
NCBI:txid2129517	species	Cecidomyiidae sp. BIOUG21333-E08		[]
NCBI:txid1003231	species	Rattus sp. BOLD:AAH3528		[]
NCBI:txid652297	species	Dothideomycetes sp. 11131.1		[]
NCBI:txid2211991	species	Choeras sp. Extraction302		[]
NCBI:txid2541449	species	Sciaridae sp. BIOUG20166-F01		[]
NCBI:txid362437	species	Flavobacterium sp. WB 4.4-16		[]
NCBI:txid923182	species	Lepidoptera sp. BOLD:AAM9041		[]
NCBI:txid496975	species	Danio cf. rerio 'Assam'		[]
NCBI:txid73424	species	Expression vector pYZ1N		[]
NCBI:txid1742629	genus	Gyractis		[]
NCBI:txid2596228	species	Gracillariidae sp. SG-BCISP-4768		[]
NCBI:txid1907856	species	Perisesarma huzardi		[]
NCBI:txid2081989	varietas	Chloridium botryoideum var. botryoideum		[]
NCBI:txid1592525	species	Cryptococcus sp. AspA8.1		[]
NCBI:txid2150226	species	Encyrtidae sp. BIOUG32639-F04		[]
NCBI:txid1548261	species	Fusarium sp. DMT-5-3		[]
NCBI:txid286512	species	Muhlenbergia racemosa		[]
NCBI:txid545031	species	Mycobacterium sp. 05FL-49-189A		[]
NCBI:txid418088	species	Papiliotrema cf. aureus NRRL Y-30215		["Cryptococcus cf. aureus NRRL Y-30215"]
NCBI:txid2710529	species	Urocystis piptatheri		[]
NCBI:txid1593013	species	Pterophorinae sp. BOLD:AAG0192		[]
NCBI:txid2011171	species	Eremarionta sp. Pahrump		[]
NCBI:txid837270	species	Lepidoptera sp. BOLD:AAB9416		[]
NCBI:txid2609985	species	Badister micans		[]
NCBI:txid1087727	species	Polyptychus trisecta		[]
NCBI:txid1473835	species	Sciaridae sp. BOLD:ACC4940		[]
NCBI:txid703594	species	Otiorhynchus ligustici		[]
NCBI:txid858041	species	Lepidoptera sp. BLPBE093-07		[]
NCBI:txid1138684	species	Ceratobasidium sp. B468aSoMrS2		[]
NCBI:txid445905	species	Marinobacter sp. KJ6-1-1		[]
NCBI:txid2840917	species	Candidatus Scatocola faecipullorum		[]
NCBI:txid1460102	species	Lamippe bouligandi		[]
NCBI:txid2548586	species	Agromyzidae sp. JSDIP189-10		[]
NCBI:txid1439630	species	Nostoc sp. 'Peltigera sp. N49 cyanobiont'		[]
NCBI:txid1844207	species	Nostoc sp. SVAL99		[]
NCBI:txid2293659	species	Dissochaeta vacillans		[]
NCBI:txid2198335	species	Orthocladiinae sp. BIOUG14693-H05		[]
NCBI:txid851543	species	Lepidoptera sp. BOLD:AAL5157		[]
NCBI:txid1824263	no rank	Influenza B virus (B/Michigan/37/2015)		[]
NCBI:txid437877	no rank	Influenza B virus (B/Johannesburg/8/99)		[]
NCBI:txid2210018	species	Orthocladiinae sp. BIOUG22395-G06		[]
NCBI:txid516327	species	Streptomyces sp. ID05-A0469		[]
NCBI:txid652567	species	Cryptorhynchinae sp. CRB-072		[]
NCBI:txid1882025	species	Paramoebidium sp. NOR-10-W10a		[]
NCBI:txid2725931	strain	Vermifilum ionodolium BLCC-M71		["Oscillatoriales cyanobacterium BLCC-M71"]
NCBI:txid1699685	strain	Pseudanabaena mucicola KLL-C016		[]
NCBI:txid837068	species	Lepidoptera sp. BOLD:AAB8647		[]
NCBI:txid454007	subspecies	Acanthopagrus schlegelii schlegelii		["Chrysophrys schlegelii schlegelii"]
NCBI:txid1447000	no rank	Influenza A virus (A/Israel/L119/2011(H1N1))		[]
NCBI:txid853437	species	Perciformes sp. BOLD:AAF4147		[]
NCBI:txid2797668	species	Airamia albiocula		["Hoplotarache albiocula"]
NCBI:txid1326841	species	Orasema nr. valgius D0324		[]
NCBI:txid2834320	species	Trypanosoma sp. 129 H		[]
NCBI:txid1531725	species	bacterium SCSIO13302		[]
NCBI:txid1043950	species	Aleiodes sp. BOLD:AAH8879		[]
NCBI:txid1268979	strain	Escherichia coli 907357		[]
NCBI:txid1632587	species	bacterium YC-ZSS-LKJ19		[]
NCBI:txid254695	species	Arctium umbrosum		["Cousinia umbrosa"]
NCBI:txid1808936	species	Vibrio sp. CPA-9		[]
NCBI:txid1761727	species	Syllis picta		["Eurymedusa picta"]
NCBI:txid2596978	species	Gracilacus steineri		["Paratylenchus steineri"]
NCBI:txid624317	species	Microvirga sp. LM		["Balneimonas sp. LM"]
NCBI:txid2843801	species	Bahnicevirus chthonovicinum		[]
NCBI:txid2180752	species	Melanostoma sp. BIOUG22429-D11		[]
NCBI:txid199621	species	Alpinia foxworthyi		[]
NCBI:txid1988831	species	Chironomidae sp. BIOUG02135-G07		[]
NCBI:txid515738	species	fungal sp. 209c3a		[]
NCBI:txid1398990	strain	Acinetobacter baumannii UH9707		[]
NCBI:txid2203552	species	Euxoa foeminalis		[]
NCBI:txid1819974	no rank	Influenza A virus (A/domestic bird/Burkina Faso/15VIR1774-25/2015(H5N1))		[]
NCBI:txid202030	genus	Magdalis		[]
NCBI:txid2634496	no rank	unclassified Thomsonisca		[]
NCBI:txid843829	species	Lepidoptera sp. BOLD:AAF5166		[]
NCBI:txid2473528	species	Mymaridae sp. BIOUG12714-F05		[]
NCBI:txid1421743	species	Microula myosotidea		[]
NCBI:txid2522988	species	Platygastridae sp. BIOUG20087-C05		[]
NCBI:txid358322	species	Paenibacillus sp. 12HD2		[]
NCBI:txid1964849	species	Candidula sp. AR_BC7346		[]
NCBI:txid1929937	species	Fundulopanchax spoorenbergi		["Aphyosemion spoorenbergi"]
NCBI:txid1441390	no rank	Influenza A virus (A/Florida/3433/2013(H1N1))		[]
NCBI:txid120166	species	Enterobacteria phage P-EibC		["Bacteriophage P-EibC"]
NCBI:txid1559894	species	Ceratobasidium sp. CC36		[]
NCBI:txid1735044	species	Clowesia russelliana		[]
NCBI:txid2578583	species	Orthocladius dentifer		[]
NCBI:txid2705709	species	Thouarella sp. C657_2C		[]
NCBI:txid626561	species	Teuchophorus tiomanensis		[]
NCBI:txid261252	species	Fusarium sp. Po14		["Fusarium sp. Po-fs9"]
NCBI:txid2008488	genus	Myerslopella		[]
NCBI:txid2708548	species	Brachystelma nigidianum		[]
NCBI:txid2199398	species	Orthocladius sp. BIOUG19088-D02		[]
NCBI:txid1757514	no rank	Influenza B virus (B/Waikato/20/2013)		[]
NCBI:txid2547659	species	Ceratopus bondari		[]
NCBI:txid2734597	species	Grand Arbaud uukuvirus		[]
NCBI:txid372586	no rank	Norovirus Hu/GI/ICB1159/1996/Brazil		[]
NCBI:txid2085494	species	Mordellistena sp. BIOUG23888-F04		[]
NCBI:txid1401033	species	Triatoma sp. SAK-2013		[]
NCBI:txid1196861	species	Linaria triphylla		[]
NCBI:txid1015279	species	bacterium enrichment culture clone ALO1_GLFRUDD03GSF2A		[]
NCBI:txid1660207	no rank	Influenza A virus (A/duck/TienGiang/15/2013(H5N1))		[]
NCBI:txid2250653	species	Monhystera sp. 1 JS-2018		[]
NCBI:txid1105183	species	Arthrobacter sp. WS03		[]
NCBI:txid455529	species	uncultured marine microorganism HF4000_ANIW133F6		[]
NCBI:txid1566459	no rank	Influenza A virus (A/Ceara/129360-IEC/2014(H1N1))		[]
NCBI:txid127270	species	Eunica sp. AB-2000		[]
NCBI:txid2660249	species	Phalonia sp. BOLD:AAI2887		[]
NCBI:txid582587	species	Haliotrematoides sp. 4 YS-2008		[]
NCBI:txid865508	species	Bacillus sp. SGE169(2010)		[]
NCBI:txid532704	species	soil fungal sp. DM249		[]
NCBI:txid2622786	no rank	unclassified Rhypasma		[]
NCBI:txid2450870	species	Anystidae sp. BIOUG20981-D03		[]
NCBI:txid5098	species	Monascus purpureus		["Monascus albidus", "Monascus anka", "Monascus araneosus", "Monascus purpurea", "Monascus rubiginosus"]
NCBI:txid1334622	species	uncultured Methanothermus sp.		[]
NCBI:txid1589064	species	Gymnopilus sp. 1 GMB-2014		[]
NCBI:txid2217110	species	Thricops sp. BIOUG27224-B11		[]
NCBI:txid2563771	family	Tanaellidae		[]
NCBI:txid1183078	species	Bacillus sp. JC135		[]
NCBI:txid50322	species	Neopanax macintyrei		["Pseudopanax macintyrei"]
NCBI:txid426716	species	Nocardia rhamnosiphila		[]
NCBI:txid1989518	species	Miridae sp. BIOUG02439-A11		[]
NCBI:txid2281784	species	Megaselia sp. BIOUG22344-G09		[]
